¸ú×ÙÂ·¾¶1
X(mm), Y(mm), Z(mm)
35.1768604288512, 145.816969144092, 6.53467890855093e-15
36.7505949627854, 145.428311445472, 6.49198779793965e-15
38.3323658114178, 145.019411567211, 6.44929668732837e-15
39.9206532300187, 144.590253633117, 6.40660557671709e-15
41.5140064808852, 144.140859113249, 6.36391446610581e-15
43.1110443071807, 143.671284043627, 6.32122335549454e-15
44.7104550045814, 143.181616184773, 6.27853224488326e-15
46.3109961214402, 142.671972153749, 6.23584113427198e-15
47.9114938192739, 142.142494560937, 6.19315002366069e-15
49.5108419259162, 141.593349179215, 6.15045891304941e-15
51.1080007137089, 141.024722169724, 6.10776780243813e-15
52.7019954346841, 140.436817384911, 6.06507669182685e-15
54.2919146438882, 139.829853766286, 6.02238558121558e-15
55.8769083408802, 139.204062851144, 5.9796944706043e-15
57.4561859580453, 138.559686399597, 5.93700335999302e-15
59.0290142227821, 137.896974150584, 5.89431224938174e-15
60.5947149188743, 137.21618171302, 5.85162113877046e-15
62.1526625705154, 136.517568596118, 5.80893002815918e-15
63.702282070553, 135.801396380906, 5.7662389175479e-15
65.2430462725762, 135.067927033307, 5.72354780693663e-15
66.7744735645683, 134.317421357674, 5.68085669632535e-15
68.2961254399473, 133.55013758844, 5.63816558571407e-15
69.8076040800002, 132.766330116525, 5.59547447510279e-15
71.3085499599675, 131.966248346337, 5.55278336449151e-15
72.7986394893837, 131.150135678523, 5.51009225388023e-15
74.2775826957068, 130.318228613202, 5.46740114326895e-15
75.7451209588424, 129.47075596802, 5.42471003265768e-15
77.2010248028196, 128.607938205209, 5.38201892204639e-15
78.6450917496483, 127.729986861699, 5.33932781143511e-15
80.0771442392903, 126.837104076371, 5.29663670082383e-15
81.4970276186648, 125.929482208587, 5.25394559021255e-15
82.9046082017167, 125.007303542314, 5.21125447960127e-15
84.2997714017911, 124.070740070357, 5.16856336898999e-15
85.6824199368637, 123.119953353481, 5.12587225837872e-15
87.0524721075657, 122.155094449482, 5.08318114776744e-15
88.4098601474429, 121.176303907612, 5.04049003715616e-15
89.7545286444429, 120.183711824083, 4.99779892654488e-15
91.0864330322627, 119.177437954755, 4.9551078159336e-15
92.4055381499037, 118.157591881466, 4.91241670532232e-15
93.7118168675458, 117.12427322884, 4.86972559471104e-15
