0,-16.59348538
1,-16.50787973
2,-16.42550115
3,-16.34636715
4,-16.27049453
5,-16.19789943
6,-16.12859726
7,-16.06260276
8,-15.99992994
9,-15.94059212
10,-15.88460192
11,-15.83197124
12,-15.78271125
13,-15.73683242
14,-15.69434451
15,-15.65525655
16,-15.61957685
17,-15.58731299
18,-15.55847182
19,-15.53305949
20,-15.51108139
21,-15.4925422
22,-15.47744586
23,-15.46579558
24,-15.45759383
25,-15.45284236
26,-15.45154218
27,-15.45369357
28,-15.45929607
29,-15.46834849
30,-15.48084889
31,-15.49679464
32,-15.51618232
33,-15.53900784
34,-15.56526631
35,-15.59495218
36,-15.62805912
37,-15.6645801
38,-15.70450736
39,-15.7478324
40,-15.79454602
41,-15.8446383
42,-15.89809857
43,-15.95491549
44,-16.01507698
45,-16.07857026
46,-16.14538183
47,-16.21549749
48,-16.28890236
49,-16.36558082
50,-16.44551659
51,-16.52869268
52,-16.61509142
53,-16.70469444
54,-16.7974827
55,-16.89343647
56,-16.99253535
57,-17.09475827
58,-17.2000835
59,-17.30848861
60,-17.41995055
61,-17.53444559
62,-17.65194934
63,-17.77243677
64,-17.8958822
65,-18.02225931
66,-18.15154113
67,-18.28370005
68,-18.41870785
69,-18.55653566
70,-18.69715397
71,-18.84053267
72,-18.98664103
73,-19.13544768
74,-19.28692064
75,-19.44102733
76,-19.59773456
77,-19.75700852
78,-19.91881479
79,-20.08311837
80,-20.24988363
81,-20.41907437
82,-20.59065376
83,-20.7645844
84,-20.94082829
85,-21.11934683
86,-21.30010082
87,-21.48305048
88,-21.66815543
89,-21.85537471
90,-22.04466675
91,-22.23598941
92,-22.42929995
93,-22.62455502
94,-22.8217107
95,-23.02072246
96,-23.22154519
97,-23.42413317
98,-23.62844009
99,-23.83441903
100,-24.04202247
101,-24.25120228
102,-24.46190975
103,-24.67409551
104,-24.88770963
105,-25.10270152
106,-25.31902
107,-25.53661323
108,-25.75542879
109,-25.97541359
110,-26.19651391
111,-26.41867542
112,-26.6418431
113,-26.86596131
114,-27.09097376
115,-27.31682347
116,-27.54345283
117,-27.77080356
118,-27.99881667
119,-28.22743255
120,-28.45659085
121,-28.68623058
122,-28.91629002
123,-29.14670678
124,-29.37741776
125,-29.60835916
126,-29.83946647
127,-30.07067445
128,-30.30191717
129,-30.53312797
130,-30.76423948
131,-30.99518359
132,-31.22589148
133,-31.45629359
134,-31.68631966
135,-31.91589868
136,-32.14495893
137,-32.37342798
138,-32.60123266
139,-32.8282991
140,-33.05455273
141,-33.27991826
142,-33.50431973
143,-33.72768048
144,-33.94992318
145,-34.17096986
146,-34.39074186
147,-34.60915994
148,-34.82614421
149,-35.04161421
150,-35.2554889
151,-35.46768668
152,-35.67812544
153,-35.8867226
154,-36.09339507
155,-36.29805936
156,-36.5006316
157,-36.70102753
158,-36.89916261
159,-37.09495202
160,-37.28831071
161,-37.47915349
162,-37.66739502
163,-37.85294992
164,-38.03573282
165,-38.21565841
166,-38.39264149
167,-38.5665971
168,-38.73744053
169,-38.90508744
170,-39.0694539
171,-39.23045651
172,-39.38801247
173,-39.54203967
174,-39.69245679
175,-39.83918336
176,-39.98213991
177,-40.12124804
178,-40.25643051
179,-40.38761137
180,-40.51471605
181,-40.63767146
182,-40.75640612
183,-40.87085025
184,-40.98093589
185,-41.08659698
186,-41.18776953
187,-41.28439164
188,-41.37640369
189,-41.46374841
190,-41.54637095
191,-41.62421906
192,-41.6972431
193,-41.7653962
194,-41.82863431
195,-41.88691632
196,-41.94020411
197,-41.98846265
198,-42.03166005
199,-42.06976767
200,-42.10276011
201,-42.13061532
202,-42.15331463
203,-42.1708428
204,-42.18318802
205,-42.19034197
206,-42.19229982
207,-42.18906025
208,-42.18062545
209,-42.1670011
210,-42.1481964
211,-42.12422398
212,-42.09509996
213,-42.06084384
214,-42.0214785
215,-41.97703013
216,-41.9275282
217,-41.87300536
218,-41.81349741
219,-41.74904323
220,-41.67968466
221,-41.60546645
222,-41.52643616
223,-41.44264407
